# Timestep performance metrics.
# Results library: annual.res; (Results SemiDetached_2F)
# Output period: 00:15 on 01/01/26 to 23:45 on 31/12/26  (STS=30m, OTS=30m)
Time  Roof-2:atticExSfLWb(W)
00h30      -0.04
01h00      -0.03
01h30      -0.01
02h00      -0.01
02h30      -0.01
03h00      -0.01
03h30      -0.01
04h00      -0.02
04h30      -0.02
05h00      -0.03
05h30      -0.04
06h00      -0.05
06h30      -0.06
07h00      -0.06
07h30      -0.07
08h00      -0.08
08h30      -0.08
09h00      -0.08
09h30      -0.09
10h00      -0.09
10h30      -0.09
11h00      -0.12
11h30      -0.12
12h00      -0.02
12h30       0.04
13h00       0.02
13h30      -0.01
14h00      -0.03
14h30      -0.06
15h00      -0.11
15h30      -0.10
16h00       0.02
16h30       0.08
17h00       0.07
17h30       0.07
18h00       0.08
18h30       0.08
19h00       0.07
19h30       0.02
20h00      -0.03
20h30      -0.06
21h00      -0.10
21h30      -0.12
22h00      -0.13
22h30      -0.13
23h00      -0.13
23h30      -0.11
00h00      -0.11
00h30      -0.13
01h00      -0.13
01h30      -0.13
02h00      -0.13
02h30      -0.11
03h00      -0.11
03h30      -0.13
04h00      -0.14
04h30      -0.15
05h00      -0.17
05h30      -0.18
06h00      -0.18
06h30      -0.17
07h00      -0.16
07h30      -0.16
08h00      -0.15
08h30      -0.14
09h00      -0.13
09h30      -0.13
10h00      -0.12
10h30      -0.11
11h00      -0.11
11h30      -0.10
12h00      -0.05
12h30      -0.01
13h00       0.03
13h30       0.04
14h00       0.00
14h30      -0.02
15h00      -0.04
15h30      -0.07
16h00      -0.06
16h30      -0.02
17h00      -0.00
17h30      -0.01
18h00      -0.03
18h30      -0.05
19h00      -0.06
19h30      -0.05
20h00      -0.04
20h30      -0.04
21h00      -0.04
21h30      -0.06
22h00      -0.05
22h30      -0.04
23h00      -0.06
23h30      -0.07
00h00      -0.07
00h30      -0.05
01h00      -0.04
01h30      -0.05
02h00      -0.06
02h30      -0.07
03h00      -0.06
03h30      -0.06
04h00      -0.06
04h30      -0.05
05h00      -0.05
05h30      -0.04
06h00      -0.04
06h30      -0.06
07h00      -0.07
07h30      -0.07
08h00      -0.07
08h30      -0.08
09h00      -0.08
09h30      -0.08
10h00      -0.08
10h30      -0.09
11h00      -0.09
11h30      -0.08
12h00      -0.07
12h30      -0.07
13h00      -0.06
13h30      -0.07
14h00      -0.07
14h30      -0.04
15h00      -0.02
15h30      -0.03
16h00      -0.03
16h30      -0.04
17h00      -0.06
17h30      -0.06
18h00      -0.06
18h30      -0.06
19h00      -0.06
19h30      -0.05
20h00      -0.05
20h30      -0.05
21h00      -0.05
21h30      -0.05
22h00      -0.04
22h30      -0.04
23h00      -0.04
23h30      -0.05
00h00      -0.06
00h30      -0.05
01h00      -0.04
01h30      -0.04
02h00      -0.04
02h30      -0.04
03h00      -0.05
03h30      -0.05
04h00      -0.06
04h30      -0.08
05h00      -0.09
05h30      -0.11
06h00      -0.12
06h30      -0.12
07h00      -0.12
07h30      -0.13
08h00      -0.13
08h30      -0.14
09h00      -0.15
09h30      -0.15
10h00      -0.15
10h30      -0.14
11h00      -0.16
11h30      -0.15
12h00      -0.07
12h30      -0.02
13h00      -0.02
13h30      -0.03
14h00      -0.05
14h30      -0.08
15h00      -0.12
15h30      -0.17
16h00      -0.20
16h30      -0.19
17h00      -0.17
17h30      -0.12
18h00      -0.11
18h30      -0.15
19h00      -0.16
19h30      -0.15
20h00      -0.14
20h30      -0.13
21h00      -0.13
21h30      -0.14
22h00      -0.15
22h30      -0.17
23h00      -0.18
23h30      -0.19
00h00      -0.20
00h30      -0.22
01h00      -0.24
01h30      -0.25
02h00      -0.27
02h30      -0.28
03h00      -0.27
03h30      -0.27
04h00      -0.28
04h30      -0.29
05h00      -0.30
05h30      -0.29
06h00      -0.27
06h30      -0.29
07h00      -0.30
07h30      -0.28
08h00      -0.25
08h30      -0.24
09h00      -0.23
09h30      -0.22
10h00      -0.20
10h30      -0.18
11h00      -0.17
11h30      -0.14
12h00      -0.07
12h30      -0.00
13h00       0.03
13h30       0.04
14h00       0.03
14h30       0.00
15h00      -0.00
15h30       0.02
16h00       0.06
16h30       0.09
17h00       0.10
17h30       0.09
18h00       0.08
18h30       0.06
19h00       0.05
19h30       0.05
20h00       0.06
20h30       0.06
21h00       0.07
21h30       0.07
22h00       0.07
22h30       0.07
23h00       0.08
23h30       0.10
00h00       0.11
00h30       0.10
01h00       0.09
01h30       0.09
02h00       0.09
02h30       0.09
03h00       0.08
03h30       0.06
04h00       0.04
04h30       0.06
05h00       0.06
05h30       0.05
06h00       0.06
06h30       0.05
07h00      -0.02
07h30      -0.05
08h00      -0.05
08h30      -0.05
09h00      -0.05
09h30      -0.04
10h00      -0.03
10h30      -0.03
11h00      -0.04
11h30      -0.04
12h00      -0.04
12h30      -0.04
13h00      -0.03
13h30      -0.02
14h00      -0.02
14h30      -0.02
15h00      -0.03
15h30      -0.03
16h00      -0.03
16h30      -0.03
17h00      -0.03
17h30      -0.02
18h00      -0.02
18h30      -0.01
19h00      -0.04
19h30      -0.05
20h00      -0.04
20h30      -0.03
21h00      -0.02
21h30      -0.03
22h00      -0.04
22h30      -0.04
23h00      -0.04
23h30      -0.05
00h00      -0.05
00h30      -0.06
01h00      -0.06
01h30      -0.05
02h00      -0.05
02h30      -0.06
03h00      -0.06
03h30      -0.08
04h00      -0.08
04h30      -0.07
05h00      -0.07
05h30      -0.09
06h00      -0.10
06h30      -0.09
07h00      -0.09
07h30      -0.10
08h00      -0.10
08h30      -0.09
09h00      -0.08
09h30      -0.10
10h00      -0.10
10h30      -0.09
11h00      -0.09
11h30      -0.08
12h00      -0.05
12h30      -0.02
13h00       0.01
13h30       0.03
14h00       0.06
14h30       0.08
15h00       0.09
15h30       0.07
16h00       0.04
16h30       0.02
17h00       0.00
17h30      -0.00
18h00      -0.01
18h30      -0.02
19h00      -0.02
19h30      -0.01
20h00       0.01
20h30       0.02
21h00       0.01
21h30       0.01
22h00       0.01
22h30       0.00
23h00      -0.01
23h30      -0.02
00h00      -0.02
00h30      -0.02
01h00      -0.03
01h30      -0.04
02h00      -0.04
02h30      -0.04
03h00      -0.04
03h30      -0.05
04h00      -0.05
04h30      -0.05
05h00      -0.04
05h30      -0.04
06h00      -0.05
06h30      -0.06
07h00      -0.05
07h30      -0.05
08h00      -0.06
08h30      -0.06
09h00      -0.05
09h30      -0.05
10h00      -0.05
10h30      -0.03
11h00      -0.04
11h30      -0.05
12h00      -0.05
12h30      -0.02
13h00      -0.01
13h30      -0.02
14h00      -0.03
14h30      -0.03
15h00      -0.03
15h30      -0.03
16h00      -0.03
16h30      -0.04
17h00      -0.04
17h30      -0.04
18h00      -0.04
18h30      -0.04
19h00      -0.06
19h30      -0.05
20h00      -0.05
20h30      -0.05
21h00      -0.04
21h30      -0.05
22h00      -0.05
22h30      -0.05
23h00      -0.05
23h30      -0.05
00h00      -0.05
00h30      -0.06
01h00      -0.06
01h30      -0.07
02h00      -0.07
02h30      -0.07
03h00      -0.07
03h30      -0.07
04h00      -0.08
04h30      -0.08
05h00      -0.08
05h30      -0.08
06h00      -0.08
06h30      -0.08
07h00      -0.09
07h30      -0.09
08h00      -0.09
08h30      -0.10
09h00      -0.11
09h30      -0.11
10h00      -0.11
10h30      -0.11
11h00      -0.15
11h30      -0.19
12h00      -0.17
12h30      -0.16
13h00      -0.16
13h30      -0.15
14h00      -0.17
14h30      -0.19
15h00      -0.21
15h30      -0.22
16h00      -0.22
16h30      -0.19
17h00      -0.17
17h30      -0.17
18h00      -0.17
18h30      -0.17
19h00      -0.17
19h30      -0.17
20h00      -0.16
20h30      -0.16
21h00      -0.15
21h30      -0.15
22h00      -0.16
22h30      -0.14
23h00      -0.12
23h30      -0.13
00h00      -0.15
00h30      -0.14
01h00      -0.12
01h30      -0.10
02h00      -0.10
02h30      -0.11
03h00      -0.12
03h30      -0.10
04h00      -0.10
04h30      -0.13
05h00      -0.13
05h30      -0.12
06h00      -0.13
06h30      -0.11
07h00      -0.08
07h30      -0.08
08h00      -0.08
08h30      -0.08
09h00      -0.07
09h30      -0.09
10h00      -0.12
10h30      -0.13
11h00      -0.11
11h30      -0.07
12h00      -0.06
12h30      -0.06
13h00      -0.04
13h30      -0.02
14h00      -0.03
14h30      -0.05
15h00      -0.07
15h30      -0.09
16h00      -0.09
16h30      -0.09
17h00      -0.09
17h30      -0.06
18h00      -0.06
18h30      -0.06
19h00      -0.06
19h30      -0.07
20h00      -0.08
20h30      -0.10
21h00      -0.11
21h30      -0.11
22h00      -0.12
22h30      -0.11
23h00      -0.10
23h30      -0.11
00h00      -0.11
00h30      -0.11
01h00      -0.11
01h30      -0.12
02h00      -0.12
02h30      -0.11
03h00      -0.10
03h30      -0.09
04h00      -0.07
04h30      -0.07
05h00      -0.08
05h30      -0.08
06h00      -0.08
06h30      -0.08
07h00      -0.08
07h30      -0.08
08h00      -0.08
08h30      -0.08
09h00      -0.09
09h30      -0.09
10h00      -0.09
10h30      -0.09
11h00      -0.09
11h30      -0.10
12h00      -0.08
12h30      -0.07
13h00      -0.07
13h30      -0.08
14h00      -0.09
14h30      -0.10
15h00      -0.12
15h30      -0.13
16h00      -0.13
16h30      -0.11
17h00      -0.10
17h30      -0.09
18h00      -0.10
18h30      -0.10
19h00      -0.10
19h30      -0.10
20h00      -0.10
20h30      -0.11
21h00      -0.10
21h30      -0.10
22h00      -0.10
22h30      -0.10
23h00      -0.10
23h30      -0.09
00h00      -0.11
00h30      -0.14
01h00      -0.14
01h30      -0.14
02h00      -0.14
02h30      -0.11
03h00      -0.11
03h30      -0.12
04h00      -0.14
04h30      -0.14
05h00      -0.12
05h30      -0.11
06h00      -0.11
06h30      -0.11
07h00      -0.12
07h30      -0.14
08h00      -0.15
08h30      -0.15
09h00      -0.14
09h30      -0.14
10h00      -0.15
10h30      -0.15
11h00      -0.14
11h30      -0.11
12h00      -0.08
12h30      -0.08
13h00      -0.08
13h30      -0.07
14h00      -0.07
14h30      -0.10
15h00      -0.12
15h30      -0.12
16h00      -0.12
16h30      -0.11
17h00      -0.10
17h30      -0.09
18h00      -0.08
18h30      -0.09
19h00      -0.11
19h30      -0.12
20h00      -0.11
20h30      -0.08
21h00      -0.07
21h30      -0.08
22h00      -0.07
22h30      -0.07
23h00      -0.08
23h30      -0.09
00h00      -0.08
00h30      -0.06
01h00      -0.06
01h30      -0.05
02h00      -0.05
02h30      -0.05
03h00      -0.05
03h30      -0.05
04h00      -0.04
04h30      -0.04
05h00      -0.04
05h30      -0.04
06h00      -0.04
06h30      -0.04
07h00      -0.04
07h30      -0.04
08h00      -0.04
08h30      -0.04
09h00      -0.04
09h30      -0.04
10h00      -0.08
10h30      -0.13
11h00      -0.13
11h30      -0.08
12h00      -0.03
12h30      -0.00
13h00      -0.01
13h30      -0.01
14h00      -0.02
14h30      -0.04
15h00      -0.06
15h30      -0.09
16h00      -0.11
16h30      -0.11
17h00      -0.09
17h30      -0.08
18h00      -0.08
18h30      -0.08
19h00      -0.09
19h30      -0.10
20h00      -0.10
20h30      -0.10
21h00      -0.10
