Description,A,B,C,D,E,F,G,H,I,J,K,L,M
Average thermal transmittance 0.12 W/m2K,avg_u0.12,avg_u0.12,avg_u0.12,avg_u0.12,avg_u0.12,avg_u0.12,avg_u0.12,avg_u0.12,avg_u0.12,avg_u0.12,avg_u0.12,avg_u0.12,avg_u0.12
Average thermal transmittance 0.13 W/m2K,avg_u0.13,avg_u0.13,avg_u0.13,avg_u0.13,avg_u0.13,avg_u0.13,avg_u0.13,avg_u0.13,avg_u0.13,avg_u0.13,avg_u0.13,avg_u0.13,avg_u0.13
Average thermal transmittance 0.21 W/m2K,avg_u0.21,avg_u0.21,avg_u0.21,avg_u0.21,avg_u0.21,avg_u0.21,avg_u0.21,avg_u0.21,avg_u0.21,avg_u0.21,avg_u0.21,avg_u0.21,avg_u0.21
"Cavity wall, as built, insulated (assumed)",0,0,0,0,cavity_as_built_bands_A_to_E,0,cavity_as_built_band_G,0,0,0,0,0,0
"Cavity wall, as built, no insulation (assumed)",cavity_as_built_bands_A_to_E,0,cavity_as_built_bands_A_to_E,cavity_as_built_bands_A_to_E,cavity_as_built_bands_A_to_E,0,0,0,0,0,0,0,0
"Cavity wall, as built, partial insulation (assumed)",0,0,0,cavity_as_built_bands_A_to_E,cavity_as_built_bands_A_to_E,0,0,0,0,0,0,0,0
"Cavity wall, filled cavity",0,0,cavity_filled_bands_A_to_E,cavity_filled_bands_A_to_E,cavity_filled_bands_A_to_E,cavity_filled_band_F,cavity_filled_band_G,0,0,0,0,0,0
"Cavity wall, with external insulation",0,0,0,cavity_ext_insul_band_D,0,0,0,0,0,0,0,0,0
"Granite or whinstone, as built, insulated (assumed)",0,0,0,0,0,0,gran_whin_as_built_band_G,0,0,0,0,0,0
"Granite or whinstone, as built, no insulation (assumed)",gran_whin_as_built_band_A,0,0,0,0,0,0,0,0,0,0,0,0
"Granite or whinstone, with internal insulation",gran_whin_int_insul_band_A,0,gran_whin_int_insul_band_C,0,0,0,0,0,0,0,0,0,0
"Park home wall, as built",0,0,0,0,0,0,park_home_as_built_band_G,0,park_home_as_built_band_I,0,0,0,0
"Park home wall, with external insulation",0,0,0,0,0,park_home_ext_insul_band_F,park_home_ext_insul_band_G,0,park_home_ext_insul_band_I,0,park_home_ext_insul_band_K,0,0
"Sandstone or limestone, as built, insulated (assumed)",0,0,0,0,0,0,sand_lime_as_built_band_G,0,0,0,0,0,0
"Sandstone or limestone, as built, no insulation (assumed)",sand_lime_as_built_band_A,0,sand_lime_as_built_band_C,0,0,0,0,0,0,0,0,0,0
"Sandstone or limestone, with internal insulation",0,0,0,0,0,0,0,0,0,sand_lime_int_insul_band_J,0,0,0
"Solid brick, as built, no insulation (assumed)",brick_as_built_bands_A_to_C,0,brick_as_built_bands_A_to_C,0,0,0,0,0,0,0,0,0,0
"System built, as built, insulated (assumed)",system_as_built_insulated,system_as_built_insulated,system_as_built_insulated,system_as_built_insulated,system_as_built_insulated,system_as_built_insulated,system_as_built_insulated,system_as_built_insulated,system_as_built_insulated,system_as_built_insulated,system_as_built_insulated,system_as_built_insulated,system_as_built_insulated
"System built, as built, no insulation (assumed)",0,0,0,system_as_built_band_D,0,0,0,0,0,0,0,0,0
"System built, with external insulation",0,0,0,system_ext_insul_band_D,0,0,0,0,0,0,0,0,0
"Timber frame, as built, insulated (assumed)",timber_as_built_band_K,0,timber_as_built_bands_G_to_I,timber_as_built_band_J,timber_as_built_band_K,timber_as_built_band_F,timber_as_built_bands_G_to_I,timber_as_built_bands_G_to_I,timber_as_built_bands_G_to_I,timber_as_built_band_J,timber_as_built_band_K,0,0
"Timber frame, as built, partial insulation (assumed)",0,0,0,timber_as_built_band_D,0,0,0,0,0,0,0,0,0
"Timber frame, with additional insulation",0,0,timber_as_built_bands_G_to_I,timber_as_built_bands_G_to_I,0,0,0,0,0,0,0,0,0
