Time,ground_temp_30mm
1/1/19 09:00,6.00
1/2/19 09:00,6.20
1/3/19 09:00,5.50
1/4/19 09:00,5.50
1/5/19 09:00,5.50
1/6/19 09:00,5.50
1/7/19 09:00,5.70
1/8/19 09:00,6.00
1/9/19 09:00,5.70
1/10/19 09:00,5.30
1/11/19 09:00,5.40
1/12/19 09:00,5.60
1/13/19 09:00,5.90
1/14/19 09:00,6.10
1/15/19 09:00,5.90
1/16/19 09:00,6.20
1/17/19 09:00,6.00
1/18/19 09:00,5.50
1/19/19 09:00,5.00
1/20/19 09:00,4.90
1/21/19 09:00,4.80
1/22/19 09:00,4.50
1/23/19 09:00,4.40
1/24/19 09:00,4.10
1/25/19 09:00,4.00
1/26/19 09:00,4.40
1/27/19 09:00,4.90
1/28/19 09:00,4.70
1/29/19 09:00,4.30
1/30/19 09:00,4.20
1/31/19 09:00,4.00
2/1/19 09:00,3.60
2/2/19 09:00,3.50
2/3/19 09:00,3.40
2/4/19 09:00,3.00
2/5/19 09:00,3.00
2/6/19 09:00,3.00
2/7/19 09:00,3.20
2/8/19 09:00,3.40
2/9/19 09:00,3.60
2/10/19 09:00,4.00
2/11/19 09:00,4.00
2/12/19 09:00,3.80
2/13/19 09:00,4.10
2/14/19 09:00,4.50
2/15/19 09:00,4.50
2/16/19 09:00,5.00
2/17/19 09:00,5.00
2/18/19 09:00,5.20
2/19/19 09:00,5.20
2/20/19 09:00,5.30
2/21/19 09:00,5.60
2/22/19 09:00,5.90
2/23/19 09:00,6.10
2/24/19 09:00,6.20
2/25/19 09:00,6.20
2/26/19 09:00,6.20
2/27/19 09:00,6.00
2/28/19 09:00,5.70
3/1/19 09:00,5.60
3/2/19 09:00,5.70
3/3/19 09:00,5.90
3/4/19 09:00,5.90
3/5/19 09:00,5.90
3/6/19 09:00,5.70
3/7/19 09:00,5.70
3/8/19 09:00,5.60
3/9/19 09:00,5.20
3/10/19 09:00,5.00
3/11/19 09:00,4.90
3/12/19 09:00,4.60
3/13/19 09:00,4.70
3/14/19 09:00,5.00
3/15/19 09:00,5.30
3/16/19 09:00,5.10
3/17/19 09:00,5.00
3/18/19 09:00,4.90
3/19/19 09:00,5.00
3/20/19 09:00,5.40
3/21/19 09:00,5.70
3/22/19 09:00,6.30
3/23/19 09:00,6.40
3/24/19 09:00,6.10
3/25/19 09:00,6.10
3/26/19 09:00,6.30
3/27/19 09:00,6.50
3/28/19 09:00,6.60
3/29/19 09:00,6.60
3/30/19 09:00,6.60
3/31/19 09:00,6.70
4/1/19 09:00,6.50
4/2/19 09:00,6.40
4/3/19 09:00,6.30
4/4/19 09:00,6.10
4/5/19 09:00,6.10
4/6/19 09:00,6.20
4/7/19 09:00,6.20
4/8/19 09:00,6.20
4/9/19 09:00,6.60
4/10/19 09:00,6.70
4/11/19 09:00,6.60
4/12/19 09:00,6.50
4/13/19 09:00,6.50
4/14/19 09:00,6.50
4/15/19 09:00,6.40
4/16/19 09:00,6.40
4/17/19 09:00,6.50
4/18/19 09:00,6.80
4/19/19 09:00,7.20
4/20/19 09:00,7.70
4/21/19 09:00,8.20
4/22/19 09:00,8.50
4/23/19 09:00,8.70
4/24/19 09:00,8.70
4/25/19 09:00,9.00
4/26/19 09:00,9.00
4/27/19 09:00,9.00
4/28/19 09:00,8.80
4/29/19 09:00,8.90
4/30/19 09:00,9.10
5/1/19 09:00,9.00
5/2/19 09:00,9.00
5/3/19 09:00,9.00
5/4/19 09:00,9.10
5/5/19 09:00,8.90
5/6/19 09:00,8.90
5/7/19 09:00,8.80
5/8/19 09:00,8.60
5/9/19 09:00,8.50
5/10/19 09:00,8.50
5/11/19 09:00,8.90
5/12/19 09:00,8.90
5/13/19 09:00,9.00
5/14/19 09:00,9.20
5/15/19 09:00,9.40
5/16/19 09:00,9.90
5/17/19 09:00,10.00
5/18/19 09:00,10.10
5/19/19 09:00,10.10
5/20/19 09:00,10.10
5/21/19 09:00,10.30
5/22/19 09:00,10.40
5/23/19 09:00,10.30
5/24/19 09:00,10.20
5/25/19 09:00,10.20
5/26/19 09:00,10.20
5/27/19 09:00,10.30
5/28/19 09:00,10.20
5/29/19 09:00,10.20
5/30/19 09:00,10.10
5/31/19 09:00,10.30
6/1/19 09:00,10.50
6/2/19 09:00,10.80
6/3/19 09:00,11.10
6/4/19 09:00,11.00
6/5/19 09:00,11.00
6/6/19 09:00,11.10
6/7/19 09:00,11.20
6/8/19 09:00,11.30
6/9/19 09:00,11.40
