Time,diffuse_horizontal_solar
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,6.75
11:00:00,20.25
11:30:00,30.75
12:00:00,38.25
12:30:00,43.25
13:00:00,45.75
13:30:00,46.75
14:00:00,46.25
14:30:00,44.25
15:00:00,40.75
15:30:00,34.5
16:00:00,25.5
16:30:00,16.75
17:00:00,8.25
17:30:00,3
18:00:00,1
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,7.5
11:00:00,22.5
11:30:00,35.75
12:00:00,47.25
12:30:00,55.25
13:00:00,59.75
13:30:00,61
14:00:00,59
14:30:00,54.75
15:00:00,48.25
15:30:00,39.25
16:00:00,27.75
16:30:00,17.75
17:00:00,9.25
17:30:00,3.75
18:00:00,1.25
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,6.5
11:00:00,19.5
11:30:00,31.5
12:00:00,42.5
12:30:00,50.75
13:00:00,56.25
13:30:00,58
14:00:00,56
14:30:00,50.5
15:00:00,41.5
15:30:00,31.5
16:00:00,20.5
16:30:00,12
17:00:00,6
17:30:00,2.25
18:00:00,0.75
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,7
11:00:00,21
11:30:00,31.5
12:00:00,38.5
12:30:00,43.5
13:00:00,46.5
13:30:00,48
14:00:00,48
14:30:00,46
15:00:00,42
15:30:00,35.5
16:00:00,26.5
16:30:00,17.75
17:00:00,9.25
17:30:00,3.75
18:00:00,1.25
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,7
11:00:00,21
11:30:00,32.25
12:00:00,40.75
12:30:00,48.5
13:00:00,55.5
13:30:00,60.25
14:00:00,62.75
14:30:00,61.5
15:00:00,56.5
15:30:00,48
16:00:00,36
16:30:00,24.25
17:00:00,12.75
17:30:00,5.25
18:00:00,1.75
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,1.25
11:00:00,3.75
11:30:00,6
12:00:00,8
12:30:00,9.75
13:00:00,11.25
13:30:00,11.75
14:00:00,11.25
14:30:00,10.25
15:00:00,8.75
15:30:00,7
16:00:00,5
16:30:00,3.25
17:00:00,1.75
17:30:00,0.75
18:00:00,0.25
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,6.5
11:00:00,19.5
11:30:00,29.75
12:00:00,37.25
12:30:00,43.25
13:00:00,47.75
13:30:00,48.75
14:00:00,46.25
14:30:00,42
15:00:00,36
15:30:00,29
16:00:00,21
16:30:00,13.25
17:00:00,5.75
17:30:00,1.5
18:00:00,0.5
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,3.75
11:00:00,11.25
11:30:00,17
12:00:00,21
12:30:00,23.5
13:00:00,24.5
13:30:00,25
14:00:00,25
14:30:00,24.25
15:00:00,22.75
15:30:00,19.25
16:00:00,13.75
16:30:00,9
17:00:00,5
17:30:00,2.25
18:00:00,0.75
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
