Time,direct_normal_solar
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,96.5
11:00:00,289.5
11:30:00,416.5
12:00:00,477.5
12:30:00,521.25
13:00:00,547.75
13:30:00,557.75
14:00:00,551.25
14:30:00,527.5
15:00:00,486.5
15:30:00,349.5
16:00:00,116.5
16:30:00,0
17:00:00,0
17:30:00,0
18:00:00,0
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,57.75
11:00:00,173.25
11:30:00,222.5
12:00:00,205.5
12:30:00,205.25
13:00:00,221.75
13:30:00,247
14:00:00,281
14:30:00,300
15:00:00,304
15:30:00,229.5
16:00:00,76.5
16:30:00,0
17:00:00,0
17:30:00,0
18:00:00,0
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,6.5
11:00:00,19.5
11:30:00,42.25
12:00:00,74.75
12:30:00,96
13:00:00,106
13:30:00,93
14:00:00,57
14:30:00,32.25
15:00:00,18.75
15:30:00,9
16:00:00,3
16:30:00,0
17:00:00,0
17:30:00,0
18:00:00,0
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,96.25
11:00:00,288.75
11:30:00,416.75
12:00:00,480.25
12:30:00,523.5
13:00:00,546.5
13:30:00,554.75
14:00:00,548.25
14:30:00,530.25
15:00:00,500.75
15:30:00,364.5
16:00:00,121.5
16:30:00,0
17:00:00,0
17:30:00,0
18:00:00,0
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,95.5
11:00:00,286.5
11:30:00,406.5
12:00:00,455.5
12:30:00,475.5
13:00:00,466.5
13:30:00,438.75
14:00:00,392.25
14:30:00,336.25
15:00:00,270.75
15:30:00,178.5
16:00:00,59.5
16:30:00,0
17:00:00,0
17:30:00,0
18:00:00,0
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,0
11:00:00,0
11:30:00,0
12:00:00,0
12:30:00,0
13:00:00,0
13:30:00,0
14:00:00,0
14:30:00,0
15:00:00,0
15:30:00,0
16:00:00,0
16:30:00,0
17:00:00,0
17:30:00,0
18:00:00,0
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,7
11:00:00,21
11:30:00,23.75
12:00:00,15.25
12:30:00,12.25
13:00:00,14.75
13:30:00,17
14:00:00,19
14:30:00,18
15:00:00,14
15:30:00,9
16:00:00,3
16:30:00,0
17:00:00,0
17:30:00,0
18:00:00,0
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
01:00:00,0
01:30:00,0
02:00:00,0
02:30:00,0
03:00:00,0
03:30:00,0
04:00:00,0
04:30:00,0
05:00:00,0
05:30:00,0
06:00:00,0
06:30:00,0
07:00:00,0
07:30:00,0
08:00:00,0
08:30:00,0
09:00:00,0
09:30:00,0
10:00:00,0
10:30:00,3.5
11:00:00,10.5
11:30:00,11.5
12:00:00,6.5
12:30:00,4.25
13:00:00,4.75
13:30:00,4.25
14:00:00,2.75
14:30:00,1.75
15:00:00,1.25
15:30:00,0.75
16:00:00,0.25
16:30:00,0
17:00:00,0
17:30:00,0
18:00:00,0
18:30:00,0
19:00:00,0
19:30:00,0
20:00:00,0
20:30:00,0
21:00:00,0
21:30:00,0
22:00:00,0
22:30:00,0
23:00:00,0
23:30:00,0
00:00:00,0
00:30:00,0
