Time,extract_wd,extract_we,continuous_wd,continuous_we
00:30,0,0,14,14
01:00,0,0,14,14
01:30,0,0,14,14
02:00,0,0,14,14
02:30,0,0,14,14
03:00,0,0,14,14
03:30,0,0,14,14
04:00,0,0,14,14
04:30,0,0,14,14
05:00,0,0,14,14
05:30,0,0,14,14
06:00,15,15,14,14
06:30,15,15,14,14
07:00,15,15,14,14
07:30,130,130,14,14
08:00,0,0,14,14
08:30,0,0,14,14
09:00,0,15,14,14
09:30,0,0,14,14
10:00,0,0,14,14
10:30,0,0,14,14
11:00,0,0,14,14
11:30,0,0,14,14
12:00,0,130,14,14
12:30,0,0,14,14
13:00,0,0,14,14
13:30,0,0,14,14
14:00,0,0,14,14
14:30,0,0,14,14
15:00,0,0,14,14
15:30,0,0,14,14
16:00,0,0,14,14
16:30,0,0,14,14
17:00,15,15,14,14
17:30,15,15,14,14
18:00,130,130,14,14
18:30,15,15,14,14
19:00,15,15,14,14
19:30,15,15,14,14
20:00,0,0,14,14
20:30,0,0,14,14
21:00,0,0,14,14
21:30,0,0,14,14
22:00,0,0,14,14
22:30,0,0,14,14
23:00,0,0,14,14
23:30,0,0,14,14
00:00,0,0,14,14
