Time,extract_wd,extract_we,continuous_wd,continuous_we
00:30,0,0,10,10
01:00,0,0,10,10
01:30,0,0,10,10
02:00,0,0,10,10
02:30,0,0,10,10
03:00,0,0,10,10
03:30,0,0,10,10
04:00,0,0,10,10
04:30,0,0,10,10
05:00,0,0,10,10
05:30,0,0,10,10
06:00,10,10,10,10
06:30,10,10,10,10
07:00,10,10,10,10
07:30,130,130,10,10
08:00,0,0,10,10
08:30,0,0,10,10
09:00,0,10,10,10
09:30,0,0,10,10
10:00,0,0,10,10
10:30,0,0,10,10
11:00,0,0,10,10
11:30,0,0,10,10
12:00,0,130,10,10
12:30,0,0,10,10
13:00,0,0,10,10
13:30,0,0,10,10
14:00,0,0,10,10
14:30,0,0,10,10
15:00,0,0,10,10
15:30,0,0,10,10
16:00,0,0,10,10
16:30,0,0,10,10
17:00,10,10,10,10
17:30,10,10,10,10
18:00,130,130,10,10
18:30,10,10,10,10
19:00,10,10,10,10
19:30,10,10,10,10
20:00,0,0,10,10
20:30,0,0,10,10
21:00,0,0,10,10
21:30,0,0,10,10
22:00,0,0,10,10
22:30,0,0,10,10
23:00,0,0,10,10
23:30,0,0,10,10
00:00,0,0,10,10
