WALL_CONS,ASSIGNMENT
avg_u0.12,a
avg_u0.13,f
avg_u0.21,g
brick_as_built_bands_A_to_C,v
cavity_as_built_band_G,i
cavity_as_built_bands_A_to_E,h
cavity_ext_insul_band_D,m
cavity_filled_band_F,k
cavity_filled_band_G,l
cavity_filled_bands_A_to_E,j
gran_whin_as_built_band_A,n
gran_whin_int_insul_band_A,p
gran_whin_int_insul_band_G,q
park_home_as_built_band_G,"0
e"
park_home_as_built_band_I,"0
f"
park_home_ext_insul_band_F,"0
g"
park_home_ext_insul_band_G,"0
h"
park_home_ext_insul_band_I,"0
i"
park_home_ext_insul_band_K,"0
j"
sand_lime_as_built_band_A,r
sand_lime_as_built_band_C,g
sand_lime_as_built_band_G,t
sand_lime_int_insul_band_J,u
system_as_built_band_D,w
system_as_built_insulated,"0
x"
system_ext_insul_band_D,"0
y"
timber_as_built_band_D,"0
z"
timber_as_built_band_F,"0
a"
timber_as_built_band_J,"0
c"
timber_as_built_band_K,"0
d"
timber_as_built_bands_G_to_I,"0
b"
