# Timestep performance metrics.
# Results library: annual.res; (Results SemiDetached_2F)
# Output period: 00:15 on 01/01/26 to 23:45 on 31/12/26  (STS=30m, OTS=30m)
Time  Diffusesolar(W/m^2)
00h30       0.00
01h00       0.00
01h30       0.00
02h00       0.00
02h30       0.00
03h00       0.00
03h30       0.00
04h00       0.00
04h30       0.00
05h00       0.00
05h30       0.00
06h00       0.00
06h30       0.00
07h00       0.00
07h30       0.00
08h00       0.00
08h30       0.00
09h00       0.00
09h30       0.00
10h00       0.00
10h30       6.75
11h00      20.25
11h30      30.75
12h00      38.25
12h30      43.25
13h00      45.75
13h30      46.75
14h00      46.25
14h30      44.25
15h00      40.75
15h30      34.50
16h00      25.50
16h30      16.75
17h00       8.25
17h30       3.00
18h00       1.00
18h30       0.00
19h00       0.00
19h30       0.00
20h00       0.00
20h30       0.00
21h00       0.00
21h30       0.00
22h00       0.00
22h30       0.00
23h00       0.00
23h30       0.00
00h00       0.00
00h30       0.00
01h00       0.00
01h30       0.00
02h00       0.00
02h30       0.00
03h00       0.00
03h30       0.00
04h00       0.00
04h30       0.00
05h00       0.00
05h30       0.00
06h00       0.00
06h30       0.00
07h00       0.00
07h30       0.00
08h00       0.00
08h30       0.00
09h00       0.00
09h30       0.00
10h00       0.00
10h30       7.50
11h00      22.50
11h30      35.75
12h00      47.25
12h30      55.25
13h00      59.75
13h30      61.00
14h00      59.00
14h30      54.75
15h00      48.25
15h30      39.25
16h00      27.75
16h30      17.75
17h00       9.25
17h30       3.75
18h00       1.25
18h30       0.00
19h00       0.00
19h30       0.00
20h00       0.00
20h30       0.00
21h00       0.00
21h30       0.00
22h00       0.00
22h30       0.00
23h00       0.00
23h30       0.00
00h00       0.00
00h30       0.00
01h00       0.00
01h30       0.00
02h00       0.00
02h30       0.00
03h00       0.00
03h30       0.00
04h00       0.00
04h30       0.00
05h00       0.00
05h30       0.00
06h00       0.00
06h30       0.00
07h00       0.00
07h30       0.00
08h00       0.00
08h30       0.00
09h00       0.00
09h30       0.00
10h00       0.00
10h30       6.50
11h00      19.50
11h30      31.50
12h00      42.50
12h30      50.75
13h00      56.25
13h30      58.00
14h00      56.00
14h30      50.50
15h00      41.50
15h30      31.50
16h00      20.50
16h30      12.00
17h00       6.00
17h30       2.25
18h00       0.75
18h30       0.00
19h00       0.00
19h30       0.00
20h00       0.00
20h30       0.00
21h00       0.00
21h30       0.00
22h00       0.00
22h30       0.00
23h00       0.00
23h30       0.00
00h00       0.00
00h30       0.00
01h00       0.00
01h30       0.00
02h00       0.00
02h30       0.00
03h00       0.00
03h30       0.00
04h00       0.00
04h30       0.00
