# Timestep performance metrics.
# Results library: annual.res; (Results SemiDetached_2F)
# Output period: 00:15 on 01/01/26 to 23:45 on 31/12/26  (STS=30m, OTS=30m)
Time  Directnorsolar(W/m^2)
00h30       0.00
01h00       0.00
01h30       0.00
02h00       0.00
02h30       0.00
03h00       0.00
03h30       0.00
04h00       0.00
04h30       0.00
05h00       0.00
05h30       0.00
06h00       0.00
06h30       0.00
07h00       0.00
07h30       0.00
08h00       0.00
08h30       0.00
09h00       0.00
09h30       0.00
10h00       0.00
10h30      96.50
11h00     289.50
11h30     416.50
12h00     477.50
12h30     521.25
13h00     547.75
13h30     557.75
14h00     551.25
14h30     527.50
15h00     486.50
15h30     349.50
16h00     116.50
16h30       0.00
17h00       0.00
17h30       0.00
18h00       0.00
18h30       0.00
19h00       0.00
19h30       0.00
20h00       0.00
20h30       0.00
21h00       0.00
21h30       0.00
22h00       0.00
22h30       0.00
23h00       0.00
23h30       0.00
00h00       0.00
00h30       0.00
01h00       0.00
01h30       0.00
02h00       0.00
02h30       0.00
03h00       0.00
03h30       0.00
04h00       0.00
04h30       0.00
05h00       0.00
05h30       0.00
06h00       0.00
06h30       0.00
07h00       0.00
07h30       0.00
08h00       0.00
08h30       0.00
09h00       0.00
09h30       0.00
10h00       0.00
10h30      57.75
11h00     173.25
11h30     222.50
12h00     205.50
12h30     205.25
13h00     221.75
13h30     247.00
14h00     281.00
14h30     300.00
15h00     304.00
15h30     229.50
16h00      76.50
16h30       0.00
17h00       0.00
17h30       0.00
18h00       0.00
18h30       0.00
19h00       0.00
19h30       0.00
20h00       0.00
20h30       0.00
21h00       0.00
21h30       0.00
22h00       0.00
22h30       0.00
23h00       0.00
23h30       0.00
00h00       0.00
00h30       0.00
01h00       0.00
01h30       0.00
02h00       0.00
02h30       0.00
03h00       0.00
03h30       0.00
04h00       0.00
04h30       0.00
05h00       0.00
05h30       0.00
06h00       0.00
06h30       0.00
07h00       0.00
07h30       0.00
08h00       0.00
08h30       0.00
09h00       0.00
09h30       0.00
10h00       0.00
10h30       6.50
11h00      19.50
11h30      42.25
12h00      74.75
12h30      96.00
13h00     106.00
13h30      93.00
14h00      57.00
14h30      32.25
15h00      18.75
15h30       9.00
16h00       3.00
16h30       0.00
17h00       0.00
17h30       0.00
18h00       0.00
18h30       0.00
19h00       0.00
19h30       0.00
20h00       0.00
20h30       0.00
21h00       0.00
21h30       0.00
22h00       0.00
22h30       0.00
23h00       0.00
23h30       0.00
00h00       0.00
00h30       0.00
01h00       0.00
01h30       0.00
02h00       0.00
02h30       0.00
03h00       0.00
03h30       0.00
04h00       0.00
04h30       0.00
